Rank,City,Region,# of STEM jobs (2019),% STEM jobs (2019),# of STEM jobs change (2015-2019),% STEM jobs change (2015-2019),# Women in STEM (2019),% Women in STEM (2019),# Women in STEM change (2015-2019),% Women in STEM change (2015-2019),"Median STEM income (all, 2019)","Median STEM income change (all, 2015-2019)","Median STEM income (women, 2019)","Median STEM income change (women, 2015-2019)"
1,"New York, NY",Northeast,"215,699",5.20%,"36,763",0.90%,"68,650",31.80%,"14,382",1.50%,"$82,221 ",13.50%,"$75,923 ",22.20%
2,"San Francisco, CA",West,"84,856",15.70%,"24,124",3.70%,"23,644",27.90%,"9,690",4.90%,"$126,121 ",24.60%,"$101,852 ",24.00%
3,"Seattle, WA",West,"91,891",19.50%,"31,777",5.00%,"24,642",26.80%,"9,874",2.20%,"$109,402 ",25.60%,"$82,649 ",17.80%
4,"San Jose, CA",West,"95,647",17.60%,"22,810",3.50%,"24,718",25.80%,"8,080",3.00%,"$126,919 ",19.00%,"$107,978 ",19.60%
5,"Fremont, CA",West,"37,563",29.70%,"8,414",4.70%,"9,650",25.70%,"2,181",0.10%,"$122,191 ",14.70%,"$111,940 ",21.80%
6,"San Diego, CA",West,"91,810",12.50%,"22,079",2.40%,"25,850",28.20%,"6,528",0.40%,"$91,128 ",19.20%,"$83,807 ",31.00%
7,"Chicago, IL",Midwest,"95,120",6.90%,"22,991",1.40%,"30,023",31.60%,"10,827",4.90%,"$78,979 ",12.80%,"$70,605 ",16.60%
8,"Oakland, CA",West,"23,290",10.10%,"7,865",3.00%,"8,698",37.30%,"4,651",11.10%,"$101,092 ",39.40%,"$81,852 ",37.20%
9,"Oxnard, CA",West,"4,629",4.60%,"2,889",2.70%,"1,706",36.90%,"1,526",26.50%,"$100,348 ",53.50%,"$87,447 ",71.20%
10,"Los Angeles, CA",West,"98,582",4.80%,"18,274",0.70%,"29,829",30.30%,"6,377",1.10%,"$80,649 ",21.20%,"$65,257 ",12.80%
11,"Washington, DC",South,"49,061",12.70%,"9,419",1.70%,"18,639",38.00%,"1,997",-4.00%,"$91,659 ",17.60%,"$90,278 ",34.60%
12,"Austin, TX",South,"73,015",12.60%,"15,752",1.80%,"18,667",25.60%,"4,347",0.60%,"$83,807 ",6.80%,"$72,854 ",31.10%
13,"Atlanta, GA",South,"28,002",10.70%,"11,959",3.80%,"8,797",31.40%,"4,079",2.00%,"$76,455 ",9.20%,"$76,163 ",37.40%
14,"Arlington CDP, VA",South,"26,635",18.20%,"6,584",4.30%,"8,857",33.30%,"1,600",-2.90%,"$92,429 ",4.30%,"$87,220 ",1.80%
15,"Jersey City, NJ",Northeast,"18,206",12.50%,"5,035",2.70%,"5,454",30.00%,"3,296",13.60%,"$92,647 ",6.70%,"$87,402 ",21.70%
